카페 자동발행 운영 기록
대상 주간	2026-06-08 ~ 2026-06-14
최종 확인	2026-06-14 18:09:56 KST
확인 기준	DB 미사용 / 네이버 카페 글 목록·글 API 기준

전체 요약	계획	발행완료	예정	실패	미게시	완료율
전체	=COUNTA($A$19:$A)	=COUNTIF($K$19:$K,"발행완료")	=COUNTIF($K$19:$K,"예정")	=COUNTIF($K$19:$K,"실패")	=COUNTIF($K$19:$K,"미게시")	=IFERROR(C7/(B7-D7),"")

카페별 요약	계획	발행완료	예정	실패	미게시	완료율
건강한노후준비	=COUNTIF($D$19:$D,A10)	=COUNTIFS($D$19:$D,A10,$K$19:$K,"발행완료")	=COUNTIFS($D$19:$D,A10,$K$19:$K,"예정")	=COUNTIFS($D$19:$D,A10,$K$19:$K,"실패")	=COUNTIFS($D$19:$D,A10,$K$19:$K,"미게시")	=IFERROR(C10/(B10-D10),"")
건강관리소	=COUNTIF($D$19:$D,A11)	=COUNTIFS($D$19:$D,A11,$K$19:$K,"발행완료")	=COUNTIFS($D$19:$D,A11,$K$19:$K,"예정")	=COUNTIFS($D$19:$D,A11,$K$19:$K,"실패")	=COUNTIFS($D$19:$D,A11,$K$19:$K,"미게시")	=IFERROR(C11/(B11-D11),"")
쇼핑지름신	=COUNTIF($D$19:$D,A12)	=COUNTIFS($D$19:$D,A12,$K$19:$K,"발행완료")	=COUNTIFS($D$19:$D,A12,$K$19:$K,"예정")	=COUNTIFS($D$19:$D,A12,$K$19:$K,"실패")	=COUNTIFS($D$19:$D,A12,$K$19:$K,"미게시")	=IFERROR(C12/(B12-D12),"")
샤넬오픈런	=COUNTIF($D$19:$D,A13)	=COUNTIFS($D$19:$D,A13,$K$19:$K,"발행완료")	=COUNTIFS($D$19:$D,A13,$K$19:$K,"예정")	=COUNTIFS($D$19:$D,A13,$K$19:$K,"실패")	=COUNTIFS($D$19:$D,A13,$K$19:$K,"미게시")	=IFERROR(C13/(B13-D13),"")

유형별 요약	계획	발행완료	예정	실패	미게시	완료율
ad	=COUNTIF($E$19:$E,A16)	=COUNTIFS($E$19:$E,A16,$K$19:$K,"발행완료")	=COUNTIFS($E$19:$E,A16,$K$19:$K,"예정")	=COUNTIFS($E$19:$E,A16,$K$19:$K,"실패")	=COUNTIFS($E$19:$E,A16,$K$19:$K,"미게시")	=IFERROR(C16/(B16-D16),"")
daily	=COUNTIF($E$19:$E,A17)	=COUNTIFS($E$19:$E,A17,$K$19:$K,"발행완료")	=COUNTIFS($E$19:$E,A17,$K$19:$K,"예정")	=COUNTIFS($E$19:$E,A17,$K$19:$K,"실패")	=COUNTIFS($E$19:$E,A17,$K$19:$K,"미게시")	=IFERROR(C17/(B17-D17),"")
daily-ad	=COUNTIF($E$19:$E,A18)	=COUNTIFS($E$19:$E,A18,$K$19:$K,"발행완료")	=COUNTIFS($E$19:$E,A18,$K$19:$K,"예정")	=COUNTIFS($E$19:$E,A18,$K$19:$K,"실패")	=COUNTIFS($E$19:$E,A18,$K$19:$K,"미게시")	=IFERROR(C18/(B18-D18),"")
주간	예정일	예정시각	카페	유형	키워드/주제	계정	카테고리	계획출처	실제게시시각	실제상태	글번호	실제제목	글URL	확인근거	실패/비고
2026-06-08~2026-06-14	2026-06-08	11:03	쇼핑지름신	ad	산후 철분제 고르는법	eytkgy5500	일반 쇼핑후기	standard		미게시				예정 시각 이후 카페 글 미확인	
2026-06-08~2026-06-14	2026-06-08	11:19	샤넬오픈런	daily-ad	샤넬 미니백 핑크 베이지 월요일 점심시간에 매장 재고 보는 중	4giccokx	_ 일상샤반사 📆	standard		미게시				예정 시각 이후 카페 글 미확인	
2026-06-08~2026-06-14	2026-06-08	11:42	건강한노후준비	ad	자궁근종 임신 준비	umhu0m83	자유게시판	standard		미게시				예정 시각 이후 카페 글 미확인	
2026-06-08~2026-06-14	2026-06-08	11:58	건강관리소	ad	자궁내막증 시험관 준비	br5rbg	건강 관리 후기	standard		미게시				예정 시각 이후 카페 글 미확인	
2026-06-08~2026-06-14	2026-06-08	12:21	쇼핑지름신	ad	산후 손목 보호대 추천	uqgidh2690	일반 쇼핑후기	standard		미게시				예정 시각 이후 카페 글 미확인	
2026-06-08~2026-06-14	2026-06-08	12:39	샤넬오픈런	daily	점심 먹고 샤넬 22백 화이트 착샷 찾아보다 시간 다 갔어요	yenalk	_ 일상샤반사 📆	standard		미게시				예정 시각 이후 카페 글 미확인	
2026-06-08~2026-06-14	2026-06-08	12:58	건강한노후준비	ad	자궁선근증 착상 준비	tinyfish183	건강상식	standard		미게시				예정 시각 이후 카페 글 미확인	
2026-06-08~2026-06-14	2026-06-08	13:17	건강관리소	ad	갑상선 수치 임신 준비	orangeswan630	건강이야기	standard		미게시				예정 시각 이후 카페 글 미확인	
2026-06-08~2026-06-14	2026-06-08	13:39	쇼핑지름신	ad	산후탈모 영양제 후기	olgdmp9921	일반 쇼핑후기	standard		미게시				예정 시각 이후 카페 글 미확인	
2026-06-08~2026-06-14	2026-06-08	13:57	샤넬오픈런	daily-ad	샤넬 코코핸들 스몰 블랙 월요일 오후에도 눈에 밟히네요	olgdmp9921	_ 일상샤반사 📆	standard		미게시				예정 시각 이후 카페 글 미확인	
2026-06-08~2026-06-14	2026-06-08	14:18	건강한노후준비	ad	원인불명 난임 검사 순서	8i2vlbym	질문게시판	standard		미게시				예정 시각 이후 카페 글 미확인	
2026-06-08~2026-06-14	2026-06-08	14:35	건강관리소	ad	다낭성난소 임신 식단	heavyzebra240	건강 관리 후기	standard		미게시				예정 시각 이후 카페 글 미확인	
2026-06-08~2026-06-14	2026-06-08	14:56	쇼핑지름신	ad	제왕절개 흉터밴드 후기	4giccokx	일반 쇼핑후기	standard		미게시				예정 시각 이후 카페 글 미확인	
2026-06-08~2026-06-14	2026-06-08	15:14	샤넬오픈런	daily	오후에 졸려서 네스프레소 캡슐 보다가 샤넬 카드지갑도 봄	uqgidh2690	_ 일상샤반사 📆	standard		미게시				예정 시각 이후 카페 글 미확인	
2026-06-08~2026-06-14	2026-06-08	15:36	건강한노후준비	ad	시험관 난자채취 준비물	njmzdksm	건강정보	standard		미게시				예정 시각 이후 카페 글 미확인	
2026-06-08~2026-06-14	2026-06-08	15:53	건강관리소	ad	시험관 이식 후 갈색냉	e6yb5u4k	자유로운이야기	standard		미게시				예정 시각 이후 카페 글 미확인	
2026-06-08~2026-06-14	2026-06-08	16:17	쇼핑지름신	ad	산후도우미 준비물 리스트	yenalk	일반 쇼핑후기	standard		미게시				예정 시각 이후 카페 글 미확인	
2026-06-08~2026-06-14	2026-06-08	16:33	샤넬오픈런	daily-ad	셀린느 트리오페 숄더백 보다가 샤넬 미니 플랩이 또 생각났어요	eytkgy5500	_ 일상샤반사 📆	standard		미게시				예정 시각 이후 카페 글 미확인	
2026-06-08~2026-06-14	2026-06-08	16:55	건강한노후준비	ad	시험관 베타피검 수치 보는법	suc4dce7	건강상식	standard		미게시				예정 시각 이후 카페 글 미확인	
2026-06-08~2026-06-14	2026-06-08	17:12	건강관리소	ad	냉동배아 이식 전 몸관리	xzjmfn3f	건강이야기	standard		미게시				예정 시각 이후 카페 글 미확인	
2026-06-08~2026-06-14	2026-06-08	17:12	건강관리소	ad	냉동배아 이식 전 비타민D 수치 관리	regular14631	건강이야기	fill		미게시				예정 시각 이후 카페 글 미확인	
2026-06-08~2026-06-14	2026-06-08	17:34	쇼핑지름신	ad	육아 번아웃 선물 추천	eytkgy5500	일반 쇼핑후기	standard		미게시				예정 시각 이후 카페 글 미확인	
2026-06-08~2026-06-14	2026-06-08	17:52	샤넬오픈런	daily	퇴근길 지하철에서 샤넬 스카프 코디 저장만 계속 하는 중	olgdmp9921	_ 일상샤반사 📆	standard		미게시				예정 시각 이후 카페 글 미확인	
2026-06-08~2026-06-14	2026-06-08	18:15	건강한노후준비	ad	40대 시험관 성공 준비	8ua1womn	자유게시판	standard		미게시				예정 시각 이후 카페 글 미확인	
2026-06-08~2026-06-14	2026-06-08	18:31	건강관리소	ad	인공수정 후 몸관리	0ehz3cb2	건강 관리 후기	standard		미게시				예정 시각 이후 카페 글 미확인	
2026-06-08~2026-06-14	2026-06-08	18:54	쇼핑지름신	daily	쿠팡 로켓프레시 샐러드 담다가 산후 간식까지 같이 봤어요	uqgidh2690	일상톡톡	standard		미게시				예정 시각 이후 카페 글 미확인	
2026-06-08~2026-06-14	2026-06-08	19:11	건강한노후준비	ad	임신 준비 비타민D 검사	umhu0m83	건강정보	standard		미게시				예정 시각 이후 카페 글 미확인	
2026-06-08~2026-06-14	2026-06-08	19:34	건강관리소	ad	자궁 따뜻하게 하는 생활습관	br5rbg	건강이야기	standard		미게시				예정 시각 이후 카페 글 미확인	
2026-06-08~2026-06-14	2026-06-08	19:53	쇼핑지름신	daily	올리브영 세일 장바구니 정리하다가 손목보호대도 봤어요	olgdmp9921	일상톡톡	standard		미게시				예정 시각 이후 카페 글 미확인	
2026-06-08~2026-06-14	2026-06-08	20:16	건강한노후준비	ad	산후조리 음식 식단	tinyfish183	건강상식	standard		미게시				예정 시각 이후 카페 글 미확인	
2026-06-08~2026-06-14	2026-06-08	20:37	건강관리소	ad	제왕절개 회복기간 관리	orangeswan630	건강 관리 후기	standard		미게시				예정 시각 이후 카페 글 미확인	
2026-06-08~2026-06-14	2026-06-08	21:02	쇼핑지름신	daily	월요일 저녁 다이소 정리함 보다가 아기용품까지 담았네요	eytkgy5500	일상톡톡	standard		미게시				예정 시각 이후 카페 글 미확인	
2026-06-08~2026-06-14	2026-06-08	21:29	쇼핑지름신	ad	산후 케겔운동 기구 후기	4giccokx	일반 쇼핑후기	standard		미게시				예정 시각 이후 카페 글 미확인	
2026-06-08~2026-06-14	2026-06-08	21:51	쇼핑지름신	daily	월요일 밤 마켓컬리 간식 고르다가 출산선물까지 찾아봤어요	yenalk	일상톡톡	standard		미게시				예정 시각 이후 카페 글 미확인	
2026-06-08~2026-06-14	2026-06-13	20:28	쇼핑지름신	ad	와이프 출산선물	regular14631	일반 쇼핑후기	standard	2026-06-13 20:29:32	발행완료	11349746	와이프 출산선물 드시는 분들 계신가요	=HYPERLINK("https://cafe.naver.com/ca-fe/cafes/25729954/articles/11349746","열기")	키워드 본문/제목 일치, 게시판 일치	
2026-06-08~2026-06-14	2026-06-13	20:32	샤넬오픈런	daily-ad	샤넬 25 스몰 블랙 토요일 밤 착샷만 계속 저장 중	nes1p2kx	_ 일상샤반사 📆	standard		미게시				예정 시각 이후 카페 글 미확인	
2026-06-08~2026-06-14	2026-06-13	20:35	건강한노후준비	ad	흑염소진액 먹는법	compare14310	흑염소진액정보	standard	2026-06-13 20:39:19	발행완료	32056	흑염소진액 먹는법 제대로 알고 계신가요	=HYPERLINK("https://cafe.naver.com/ca-fe/cafes/25636798/articles/32056","열기")	키워드 본문/제목 일치, 게시판 일치	
2026-06-08~2026-06-14	2026-06-13	20:38	건강관리소	ad	임산부 흑염소	fail5644	건강이야기	standard		미게시				예정 시각 이후 카페 글 미확인	
2026-06-08~2026-06-14	2026-06-13	20:41	쇼핑지름신	daily	토요일 밤 쿠팡 로켓배송 간식 담다가 장바구니만 늘었어요	mh8j62wm	일상톡톡	standard		미게시				예정 시각 이후 카페 글 미확인	
2026-06-08~2026-06-14	2026-06-13	20:45	샤넬오픈런	daily	토요일 밤 넷플릭스 틀어놓고 샤넬 미니백 후기 보는 중	angrykoala270	_ 일상샤반사 📆	standard		미게시				예정 시각 이후 카페 글 미확인	
2026-06-08~2026-06-14	2026-06-13	20:48	쇼핑지름신	ad	갱년기 선물	tinyfish183	일반 쇼핑후기	standard	2026-06-13 20:49:24	발행완료	11349791	갱년기 선물 먹으면서 느낀 변화	=HYPERLINK("https://cafe.naver.com/ca-fe/cafes/25729954/articles/11349791","열기")	키워드 본문/제목 일치, 게시판 일치	
2026-06-08~2026-06-14	2026-06-13	20:51	건강한노후준비	ad	여자 흑염소 냉증	regular14631	건강정보	standard	2026-06-13 20:54:20	발행완료	32057	여자 흑염소 냉증 한의학적 이유와 관리법	=HYPERLINK("https://cafe.naver.com/ca-fe/cafes/25636798/articles/32057","열기")	키워드 본문/제목 일치, 게시판 일치, 제목 토큰 3/3 일치	
2026-06-08~2026-06-14	2026-06-13	20:54	건강관리소	ad	여자 흑염소	nes1p2kx	건강이야기	standard	2026-06-13 20:57:54	발행완료	2172	여자 흑염소 진액 고르는 기준뭐가 다른지 헷갈릴 때	=HYPERLINK("https://cafe.naver.com/ca-fe/cafes/25227349/articles/2172","열기")	키워드 본문/제목 일치, 게시판 일치	
2026-06-08~2026-06-14	2026-06-13	20:57	샤넬오픈런	daily-ad	샤넬 클래식 미디움 은장 주말 매장 재고 궁금해서 찾아봄	mh8j62wm	_ 일상샤반사 📆	standard		미게시				예정 시각 이후 카페 글 미확인	
2026-06-08~2026-06-14	2026-06-13	21:00	쇼핑지름신	ad	아기엄마 선물	angrykoala270	일반 쇼핑후기	standard	2026-06-13 21:01:19	발행완료	11349822	아기엄마 선물 엄마랑 같이 챙겨먹는 중이에요	=HYPERLINK("https://cafe.naver.com/ca-fe/cafes/25729954/articles/11349822","열기")	키워드 본문/제목 일치, 게시판 일치	
2026-06-08~2026-06-14	2026-06-13	21:04	건강한노후준비	ad	흑염소 체질	tinyfish183	건강상식	standard	2026-06-13 21:07:34	발행완료	32058	흑염소 체질별 맞춤 가이드, 효능부터 주의사항까지	=HYPERLINK("https://cafe.naver.com/ca-fe/cafes/25636798/articles/32058","열기")	키워드 본문/제목 일치, 게시판 일치	
2026-06-08~2026-06-14	2026-06-13	21:07	건강관리소	ad	흑염소즙 추천	compare14310	건강 관리 후기	standard	2026-06-13 21:10:31	발행완료	2173	흑염소즙 고를 때 꼭 확인하는 두 가지	=HYPERLINK("https://cafe.naver.com/ca-fe/cafes/25227349/articles/2173","열기")	키워드 본문/제목 일치, 게시판 일치	
2026-06-08~2026-06-14	2026-06-13	21:10	샤넬오픈런	daily	주말 저녁 카페 갔다가 백화점 쇼윈도만 구경했어요	fail5644	_ 일상샤반사 📆	standard		미게시				예정 시각 이후 카페 글 미확인	
2026-06-08~2026-06-14	2026-06-13	21:13	쇼핑지름신	daily	주말 저녁 다이소 정리함 보다가 욕실용품까지 샀네요	regular14631	일상톡톡	standard		미게시				예정 시각 이후 카페 글 미확인	
2026-06-08~2026-06-14	2026-06-13	21:16	건강한노후준비	ad	몸을 따뜻하게 하는 음식	nes1p2kx	건강정보	standard	2026-06-13 21:20:22	발행완료	32059	몸을 따뜻하게 하는 음식은 왜 매번 같은 것만 나올까	=HYPERLINK("https://cafe.naver.com/ca-fe/cafes/25636798/articles/32059","열기")	키워드 본문/제목 일치, 게시판 일치, 제목 토큰 4/4 일치	
2026-06-08~2026-06-14	2026-06-13	21:19	건강관리소	ad	난소나이검사 방법	mh8j62wm	건강이야기	standard	2026-06-13 21:22:43	발행완료	2176	난소나이검사 방법 정확히 알면 건강 관리가 보입니다	=HYPERLINK("https://cafe.naver.com/ca-fe/cafes/25227349/articles/2176","열기")	키워드 본문/제목 일치, 게시판 일치	
2026-06-08~2026-06-14	2026-06-13	21:22	쇼핑지름신	ad	60대 엄마 생신선물	angrykoala270	일반 쇼핑후기	standard	2026-06-13 21:23:18	발행완료	11349876	60대 엄마 생신선물 챙겨먹다가 흑염소랑 같이 먹어보니	=HYPERLINK("https://cafe.naver.com/ca-fe/cafes/25729954/articles/11349876","열기")	키워드 본문/제목 일치, 게시판 일치, 제목 토큰 3/3 일치	
2026-06-08~2026-06-14	2026-06-13	21:26	샤넬오픈런	daily-ad	디올 북토트 미니 토요일 저녁 코디 사진만 보고 있어요	tinyfish183	_ 일상샤반사 📆	standard		미게시				예정 시각 이후 카페 글 미확인	
2026-06-08~2026-06-14	2026-06-13	21:29	건강한노후준비	ad	산후 음식 기력 회복	compare14310	건강상식	standard	2026-06-13 21:31:45	발행완료	32060	산후 기력 회복 출산 후 기운이 떨어졌을 때 꼭 챙겨야 할 음식	=HYPERLINK("https://cafe.naver.com/ca-fe/cafes/25636798/articles/32060","열기")	게시판 일치, 제목 토큰 4/4 일치	
2026-06-08~2026-06-14	2026-06-13	21:32	건강관리소	ad	임신 준비 엽산	fail5644	자유로운이야기	standard	2026-06-13 21:36:14	발행완료	2177	임신 준비 중인데 엽산만 챙기면 될까요	=HYPERLINK("https://cafe.naver.com/ca-fe/cafes/25227349/articles/2177","열기")	게시판 일치, 제목 토큰 3/3 일치	
2026-06-08~2026-06-14	2026-06-13	21:35	쇼핑지름신	daily	토요일 홈플러스 장보기 앱 켜놓고 냉장고 정리하는 중	nes1p2kx	일상톡톡	standard		미게시				예정 시각 이후 카페 글 미확인	
2026-06-08~2026-06-14	2026-06-13	21:38	샤넬오픈런	daily	토요일에 옷장 정리하다 샤넬 카드지갑 생각났네요	mh8j62wm	_ 일상샤반사 📆	standard		미게시				예정 시각 이후 카페 글 미확인	
2026-06-08~2026-06-14	2026-06-13	21:41	쇼핑지름신	ad	40대 여자 선물	tinyfish183	일반 쇼핑후기	standard	2026-06-13 21:42:22	발행완료	11349923	40대 여자 선물 가격대비 만족도 괜찮나요	=HYPERLINK("https://cafe.naver.com/ca-fe/cafes/25729954/articles/11349923","열기")	키워드 본문/제목 일치, 게시판 일치, 제목 토큰 3/3 일치	
2026-06-08~2026-06-14	2026-06-13	21:44	건강한노후준비	ad	흑염소 먹는 시간	regular14631	흑염소진액정보	standard	2026-06-13 21:50:02	발행완료	32061	흑염소 먹는 시간 아침 저녁 언제가 더 좋을까	=HYPERLINK("https://cafe.naver.com/ca-fe/cafes/25636798/articles/32061","열기")	키워드 본문/제목 일치, 게시판 일치, 제목 토큰 3/3 일치	
2026-06-08~2026-06-14	2026-06-13	21:48	건강관리소	ad	계류유산 한약	nes1p2kx	건강 관리 후기	standard		미게시				예정 시각 이후 카페 글 미확인	
2026-06-08~2026-06-14	2026-06-13	21:51	샤넬오픈런	daily-ad	셀린느 트리오페 숄더 탄 주말 위시리스트에 다시 넣음	mh8j62wm	_ 일상샤반사 📆	standard		미게시				예정 시각 이후 카페 글 미확인	
2026-06-08~2026-06-14	2026-06-13	21:54	쇼핑지름신	ad	아내 출산선물	angrykoala270	일반 쇼핑후기	standard	2026-06-13 21:55:19	발행완료	11349955	아내 출산선물 한달 먹어본 변화 체감	=HYPERLINK("https://cafe.naver.com/ca-fe/cafes/25729954/articles/11349955","열기")	키워드 본문/제목 일치, 게시판 일치	
2026-06-08~2026-06-14	2026-06-13	21:57	건강한노후준비	ad	산모 흑염소 즙	tinyfish183	질문게시판	standard	2026-06-13 21:59:59	발행완료	32062	산모가 흑염소 즙을 찾는 이유와 고르는 기준	=HYPERLINK("https://cafe.naver.com/ca-fe/cafes/25636798/articles/32062","열기")	키워드 본문/제목 일치, 게시판 일치	
2026-06-08~2026-06-14	2026-06-13	22:00	건강관리소	ad	출산 후 종합영양제	compare14310	건강이야기	standard	2026-06-13 22:03:53	발행완료	2179	출산 후 컨디션이 예전 같지 않다면 확인할 점	=HYPERLINK("https://cafe.naver.com/ca-fe/cafes/25227349/articles/2179","열기")	키워드 본문/제목 일치, 게시판 일치	
2026-06-08~2026-06-14	2026-06-13	22:03	쇼핑지름신	daily	주말 밤 올리브영 세일 구경하다가 필요한 것만 고르기 실패	regular14631	일상톡톡	standard		미게시				예정 시각 이후 카페 글 미확인	
2026-06-08~2026-06-14	2026-06-13	22:06	샤넬오픈런	daily	주말 밤 향수 시향 후기 보다가 가방 후기까지 넘어감	nes1p2kx	_ 일상샤반사 📆	standard		미게시				예정 시각 이후 카페 글 미확인	
2026-06-08~2026-06-14	2026-06-13	22:09	쇼핑지름신	ad	임산부 선물	mh8j62wm	일반 쇼핑후기	standard	2026-06-13 22:10:25	발행완료	11349998	임산부 선물 두달째 먹는 중인데요	=HYPERLINK("https://cafe.naver.com/ca-fe/cafes/25729954/articles/11349998","열기")	키워드 본문/제목 일치, 게시판 일치	
2026-06-08~2026-06-14	2026-06-13	22:13	건강한노후준비	ad	갱년기치료제	angrykoala270	건강정보	standard	2026-06-13 22:16:32	발행완료	32063	갱년기치료제보다 먼저 챙겨야 할 생활습관	=HYPERLINK("https://cafe.naver.com/ca-fe/cafes/25636798/articles/32063","열기")	키워드 본문/제목 일치, 게시판 일치	
2026-06-08~2026-06-14	2026-06-13	22:16	건강관리소	ad	산후풍 증상 후유증	fail5644	건강 관리 후기	standard	2026-06-13 22:19:44	발행완료	2180	산후풍 증상과 후유증 헷갈리기 쉬운 기준	=HYPERLINK("https://cafe.naver.com/ca-fe/cafes/25227349/articles/2180","열기")	게시판 일치, 제목 토큰 3/3 일치	
2026-06-08~2026-06-14	2026-06-13	22:19	샤넬오픈런	daily-ad	루이비통 카퓌신 BB 갈레 토요일 밤 가격 비교 중	regular14631	_ 일상샤반사 📆	standard		미게시				예정 시각 이후 카페 글 미확인	
2026-06-08~2026-06-14	2026-06-13	22:22	쇼핑지름신	ad	아이 영양제	nes1p2kx	일반 쇼핑후기	standard	2026-06-13 22:23:29	발행완료	11350031	아이 영양제까지 챙기게 된 계기	=HYPERLINK("https://cafe.naver.com/ca-fe/cafes/25729954/articles/11350031","열기")	키워드 본문/제목 일치, 게시판 일치	
