cafeSlug,ownerName,cafeId,articleId,count,need,title,articleUrl
dogwalk2m4,강아지강하지 1,31750100,8,7,1,"인천웨딩홀 대관료와 식대, 보증인원까지 예산 짜는 기준",https://cafe.naver.com/ca-fe/cafes/31750100/articles/8
dogwalk2m4,강아지강하지 1,31750100,9,7,1,"접이식 카트 활용법과 캠핑·차박·이사용 대형 고르는 법",https://cafe.naver.com/ca-fe/cafes/31750100/articles/9
dogwalk2m4,강아지강하지 1,31750100,10,7,1,"헤어드라이기 풍속과 바람 세기, 빨리 마르는 원리와 선택 기준",https://cafe.naver.com/ca-fe/cafes/31750100/articles/10
driveee,운연정,31746635,2,7,1,"서울운전연수 가격 / 8년 장롱 탈출 찐후기 4일 만에 혼자 강변북로 탔어요",https://cafe.naver.com/ca-fe/cafes/31746635/articles/2
driveee,운연정,31746635,7,7,1,"인천운전연수 비용이랑 업체 고르는 법 솔직후기",https://cafe.naver.com/ca-fe/cafes/31746635/articles/7
driveee,운연정,31746635,11,7,1,"외부 글",https://cafe.naver.com/ca-fe/cafes/31746635/articles/11
driveee,운연정,31746635,13,7,1,"서울운전연수 5년 장롱면허 내돈내산 후기",https://cafe.naver.com/ca-fe/cafes/31746635/articles/13
driveee,운연정,31746635,14,7,1,"서울운전연수 추천 선택기준 총정리, 사기 안 당하고 제대로 고르는 법",https://cafe.naver.com/ca-fe/cafes/31746635/articles/14
driveee,운연정,31746635,22,7,1,"장에 좋은 음식과 피해야 할 음식, 장 건강 관리법",https://cafe.naver.com/ca-fe/cafes/31746635/articles/22
driveee,운연정,31746635,23,7,1,"군대 깔창 소재별 고르는 기준과 행군·반입까지",https://cafe.naver.com/ca-fe/cafes/31746635/articles/23
healthhhh,가중건다,31746910,5,7,1,"흑염소 효능 총정리, 왜 예부터 보양식으로 꼽혔을까",https://cafe.naver.com/ca-fe/cafes/31746910/articles/5
healthhhh,가중건다,31746910,10,7,1,"외부 글",https://cafe.naver.com/ca-fe/cafes/31746910/articles/10
mealtalkdht,빨간모자앤 1,31750099,3,7,1,"외부 글",https://cafe.naver.com/ca-fe/cafes/31750099/articles/3
mealtalkdht,빨간모자앤 1,31750099,5,7,1,"강아지 영양제 종류와 나이별 급여 기준, 고르는 법",https://cafe.naver.com/ca-fe/cafes/31750099/articles/5
mealtalkdht,빨간모자앤 1,31750099,10,7,1,"인천웨딩홀 대관료 식대 시세부터 고르는 기준까지",https://cafe.naver.com/ca-fe/cafes/31750099/articles/10
mealtalkdht,빨간모자앤 1,31750099,11,7,1,"회사 답례품 상황별 추천과 예산, 대량 주문 기준까지",https://cafe.naver.com/ca-fe/cafes/31750099/articles/11
petinfo183,티니피쉬 1,31750098,6,7,1,"울산 마운자로 처방 절차와 효과·부작용, 비용 정리",https://cafe.naver.com/ca-fe/cafes/31750098/articles/6
petinfo183,티니피쉬 1,31750098,7,7,1,"울산 위고비 처방 대상과 효과·부작용, 비용 기준",https://cafe.naver.com/ca-fe/cafes/31750098/articles/7
petinfo183,티니피쉬 1,31750098,11,7,1,"부천 PT 비용과 횟수, 효과와 트레이너 고르는 기준",https://cafe.naver.com/ca-fe/cafes/31750098/articles/11
