cafeSlug,ownerName,cafeId,articleId,count,need,title,articleUrl
driveee,운연정,31746635,18,6,2,"올리브오일 효능과 엑스트라버진 고르는 기준",https://cafe.naver.com/ca-fe/cafes/31746635/articles/18
driveee,운연정,31746635,20,6,2,"외부 글",https://cafe.naver.com/ca-fe/cafes/31746635/articles/20
driveee,운연정,31746635,25,6,2,"외부 글",https://cafe.naver.com/ca-fe/cafes/31746635/articles/25
healthhhh,가중건다,31746910,5,6,2,"흑염소 효능 총정리, 왜 예부터 보양식으로 꼽혔을까",https://cafe.naver.com/ca-fe/cafes/31746910/articles/5
mealtalkdht,빨간모자앤 1,31750099,6,6,2,"두유제조기 가격대와 소음 세척까지 고르는 기준",https://cafe.naver.com/ca-fe/cafes/31750099/articles/6
mealtalkdht,빨간모자앤 1,31750099,10,6,2,"인천웨딩홀 대관료 식대 시세부터 고르는 기준까지",https://cafe.naver.com/ca-fe/cafes/31750099/articles/10
petinfo183,티니피쉬 1,31750098,4,6,2,"장바구니 캐리어 종류와 보냉 기능, 용량별 고르는 법",https://cafe.naver.com/ca-fe/cafes/31750098/articles/4
petinfo183,티니피쉬 1,31750098,7,6,2,"울산 위고비 처방 대상과 효과·부작용, 비용 기준",https://cafe.naver.com/ca-fe/cafes/31750098/articles/7
petinfo183,티니피쉬 1,31750098,9,6,2,"드라이기 모터와 소비전력, 소음까지 고르는 기준",https://cafe.naver.com/ca-fe/cafes/31750098/articles/9
petinfo183,티니피쉬 1,31750098,10,6,2,"결혼반지 예산과 4C, 구입처별 가격까지 고르는 기준",https://cafe.naver.com/ca-fe/cafes/31750098/articles/10
dogwalk2m4,강아지강하지 1,31750100,1,7,1,"외부 글",https://cafe.naver.com/ca-fe/cafes/31750100/articles/1
dogwalk2m4,강아지강하지 1,31750100,2,7,1,"날개없는 선풍기 원리와 장단점, 청소·안전의 진실까지",https://cafe.naver.com/ca-fe/cafes/31750100/articles/2
dogwalk2m4,강아지강하지 1,31750100,7,7,1,"선풍기 모터와 소음, 풍량까지 공간별로 고르는 기준",https://cafe.naver.com/ca-fe/cafes/31750100/articles/7
dogwalk2m4,강아지강하지 1,31750100,9,7,1,"접이식 카트 활용법과 캠핑·차박·이사용 대형 고르는 법",https://cafe.naver.com/ca-fe/cafes/31750100/articles/9
dogwalk2m4,강아지강하지 1,31750100,10,7,1,"헤어드라이기 풍속과 바람 세기, 빨리 마르는 원리와 선택 기준",https://cafe.naver.com/ca-fe/cafes/31750100/articles/10
dogwalk2m4,강아지강하지 1,31750100,11,7,1,"헤어드라이어 종류와 부가기능, 처음 고를 때 봐야 할 기준",https://cafe.naver.com/ca-fe/cafes/31750100/articles/11
driveee,운연정,31746635,3,7,1,"수원운전연수 비용 권선동 예비아빠가 업체 고른 솔직 후기",https://cafe.naver.com/ca-fe/cafes/31746635/articles/3
driveee,운연정,31746635,14,7,1,"서울운전연수 추천 선택기준 총정리, 사기 안 당하고 제대로 고르는 법",https://cafe.naver.com/ca-fe/cafes/31746635/articles/14
driveee,운연정,31746635,22,7,1,"장에 좋은 음식과 피해야 할 음식, 장 건강 관리법",https://cafe.naver.com/ca-fe/cafes/31746635/articles/22
driveee,운연정,31746635,23,7,1,"군대 깔창 소재별 고르는 기준과 행군·반입까지",https://cafe.naver.com/ca-fe/cafes/31746635/articles/23
habitnote702,룰루랄라 2 (12개) 1,31750105,1,7,1,"외부 글",https://cafe.naver.com/ca-fe/cafes/31750105/articles/1
habitnote702,룰루랄라 2 (12개) 1,31750105,11,7,1,"강아지 영양제 종류와 연령별 급여 기준, 과다 주의",https://cafe.naver.com/ca-fe/cafes/31750105/articles/11
healthhhh,가중건다,31746910,4,7,1,"아연 효능 총정리, 면역부터 남성 여성 건강까지",https://cafe.naver.com/ca-fe/cafes/31746910/articles/4
healthhhh,가중건다,31746910,17,7,1,"무지외반증 교정기 효과와 고르는 기준, 부작용까지",https://cafe.naver.com/ca-fe/cafes/31746910/articles/17
mealtalkdht,빨간모자앤 1,31750099,1,7,1,"외부 글",https://cafe.naver.com/ca-fe/cafes/31750099/articles/1
mealtalkdht,빨간모자앤 1,31750099,3,7,1,"외부 글",https://cafe.naver.com/ca-fe/cafes/31750099/articles/3
mealtalkdht,빨간모자앤 1,31750099,4,7,1,"대구 가족사진 가격부터 스튜디오 고르는 기준까지",https://cafe.naver.com/ca-fe/cafes/31750099/articles/4
mealtalkdht,빨간모자앤 1,31750099,5,7,1,"강아지 영양제 종류와 나이별 급여 기준, 고르는 법",https://cafe.naver.com/ca-fe/cafes/31750099/articles/5
mealtalkdht,빨간모자앤 1,31750099,9,7,1,"위고비 알약 진짜 가짜 구별법과 처방 정보까지",https://cafe.naver.com/ca-fe/cafes/31750099/articles/9
mealtalkdht,빨간모자앤 1,31750099,11,7,1,"회사 답례품 상황별 추천과 예산, 대량 주문 기준까지",https://cafe.naver.com/ca-fe/cafes/31750099/articles/11
petinfo183,티니피쉬 1,31750098,6,7,1,"울산 마운자로 처방 절차와 효과·부작용, 비용 정리",https://cafe.naver.com/ca-fe/cafes/31750098/articles/6
petinfo183,티니피쉬 1,31750098,8,7,1,"밀크씨슬 효능과 실리마린 작용, 복용법·고르는 기준",https://cafe.naver.com/ca-fe/cafes/31750098/articles/8
petinfo183,티니피쉬 1,31750098,11,7,1,"부천 PT 비용과 횟수, 효과와 트레이너 고르는 기준",https://cafe.naver.com/ca-fe/cafes/31750098/articles/11
tableclub702,고래낚시 1,31750110,1,7,1,"맛집 식탁모임 카페를 시작합니다.",https://cafe.naver.com/ca-fe/cafes/31750110/articles/1
talkmadang702,햄부기,31750104,1,7,1,"일상 소통마당 카페를 시작합니다.",https://cafe.naver.com/ca-fe/cafes/31750104/articles/1
talkmadang702,햄부기,31750104,2,7,1,"가벼운 하루 일상 이야기 공유를 지금 시작해야 하는 이유",https://cafe.naver.com/ca-fe/cafes/31750104/articles/2
